company_id,industry
37270045,Architecture & Planning
71612518,Media Production
3671,Retail
2413926,Staffing & Recruiting
3663488,Information Technology & Services
2474970,Information Technology & Services
101699,Facilities Services
4857886,Outsourcing/Offshoring
1584751,Staffing & Recruiting
2908367,Staffing & Recruiting
90723074,Non-profit Organization Management
206587,Public Relations & Communications
205127,Staffing & Recruiting
344890,Telecommunications
1441,Computer Software
9185,Retail
93283844,Management Consulting
1318,Information Technology & Services
26923,Retail
28014,Staffing & Recruiting
64877765,Information Technology & Services
20767,Research
10589520,Automotive
11135982,Transportation/Trucking/Railroad
2625582,Hospital & Health Care
1117761,Hospital & Health Care
18883340,Real Estate
94141062,Printing
16055920,Government Administration
2138573,Architecture & Planning
2272345,Information Technology & Services
67936,"Health, Wellness & Fitness"
28609431,Food & Beverages
90392784,Real Estate
57142940,Real Estate
2853559,Architecture & Planning
9282983,Civic & Social Organization
34208,Paper & Forest Products
9238932,Wholesale
92430070,Primary/Secondary Education
98550552,Public Relations & Communications
10069048,Hospital & Health Care
10779570,Food & Beverages
11158118,Medical Practice
15391027,Transportation/Trucking/Railroad
444038,Staffing & Recruiting
33246798,Entertainment
35504315,Hospital & Health Care
346080,Real Estate
1264,Financial Services
6978821,Food & Beverages
1177302,Building Materials
1400,Computer Software
36879,Non-profit Organization Management
808034,Staffing & Recruiting
80862575,Hospital & Health Care
1262,Financial Services
3690818,Government Administration
73013724,Financial Services
22980,Non-profit Organization Management
94355,Aviation & Aerospace
230495,Information Technology & Services
113254,Computer Software
1075434,Hospital & Health Care
107457,Mental Health Care
18270206,Retail
49223,Non-profit Organization Management
12601,Construction
16198010,Information Technology & Services
8274,Retail
18691,Hospital & Health Care
10409601,Real Estate
79806,Wholesale
1947704,Electrical & Electronic Manufacturing
89094,Security & Investigations
2263179,Automotive
468782,Civil Engineering
434598,Financial Services
7550,Utilities
6684,Computer Games
1633243,Non-profit Organization Management
6476,Hospital & Health Care
89830003,Media Production
1063,Computer Software
6547149,Mental Health Care
46521,Insurance
24629,Computer Software
78853109,Professional Training & Coaching
13181,Hospital & Health Care
1089558,Staffing & Recruiting
3894635,Retail
18995316,Computer Software
882349,Architecture & Planning
61469,Staffing & Recruiting
21514196,Media Production
6910,Higher Education
9730586,Printing
61400,Staffing & Recruiting
77169664,Mental Health Care
73828006,Environmental Services
68746191,"Health, Wellness & Fitness"
69660814,Law Practice
81922135,Construction
131915,Law Practice
62804,Non-profit Organization Management
1889003,Facilities Services
3149515,Non-profit Organization Management
2937626,Medical Device
3628379,Retail
18192301,Hospital & Health Care
84939936,Marketing & Advertising
44786,Banking
106551,Hospitality
308409,Government Administration
3928505,Aviation & Aerospace
4376443,Transportation/Trucking/Railroad
36019672,Security & Investigations
58569536,Civic & Social Organization
35696106,Apparel & Fashion
543150,Environmental Services
210234,Furniture
583005,Law Practice
69642092,Information Technology & Services
11034338,Real Estate
2680550,Civic & Social Organization
10937173,Facilities Services
82327978,Real Estate
3566984,Transportation/Trucking/Railroad
89737107,Retail
2803017,Retail
35444763,Entertainment
84855353,Apparel & Fashion
10229031,Cosmetics
2144424,"Health, Wellness & Fitness"
11768999,Construction
1215629,Staffing & Recruiting
1981697,Research
93094245,Marketing & Advertising
20397,Restaurants
82884837,Information Technology & Services
72739246,Non-profit Organization Management
95734747,Mental Health Care
10279563,Food & Beverages
90666319,Information Technology & Services
436163,Information Technology & Services
750072,Information Technology & Services
278493,Banking
1313100,Information Technology & Services
313823,Aviation & Aerospace
440105,"Health, Wellness & Fitness"
6648075,Staffing & Recruiting
1313822,Cosmetics
15083522,Non-profit Organization Management
3194825,Food & Beverages
68921004,Information Technology & Services
16318,"Health, Wellness & Fitness"
9260752,Human Resources
2214679,Insurance
35512060,Information Technology & Services
13391879,Information Technology & Services
1012693,Farming
18106858,Transportation/Trucking/Railroad
14467750,Information Technology & Services
1268739,Hospitality
28966001,Information Services
82559090,Events Services
91098929,"Health, Wellness & Fitness"
47660218,Consumer Services
89721371,Computer Software
47238,Education Management
1044,Information Technology & Services
1180728,Staffing & Recruiting
89768356,Farming
164992,Information Technology & Services
65515408,Insurance
15363324,Construction
88421962,Transportation/Trucking/Railroad
1318870,Individual & Family Services
96654985,Law Practice
96360915,Non-profit Organization Management
2740813,Staffing & Recruiting
80051634,Information Technology & Services
487710,Primary/Secondary Education
2389778,Medical Device
6967,Computer Software
66932,Newspapers
77757558,Law Practice
10035810,Packaging & Containers
45068,Transportation/Trucking/Railroad
164707,Higher Education
28142959,Real Estate
1712352,Financial Services
81471675,Staffing & Recruiting
80777602,Real Estate
43041,Hospital & Health Care
2476170,Non-profit Organization Management
3769582,Civil Engineering
2893575,Information Technology & Services
2083295,Broadcast Media
82695521,Information Technology & Services
95019864,Biotechnology
613812,Staffing & Recruiting
54133543,Staffing & Recruiting
1364228,Information Technology & Services
35633786,Financial Services
43558,Information Technology & Services
22286034,Computer Software
332139,Information Technology & Services
79919162,Staffing & Recruiting
11056,Staffing & Recruiting
16029992,Facilities Services
123507,Financial Services
89930579,Information Technology & Services
701854,Financial Services
29039424,Food Production
10599076,Staffing & Recruiting
16775,Staffing & Recruiting
165747,Information Technology & Services
29686,Staffing & Recruiting
80294339,Transportation/Trucking/Railroad
11213065,Individual & Family Services
1091069,"Health, Wellness & Fitness"
164834,Apparel & Fashion
77129996,Staffing & Recruiting
15232600,Management Consulting
3540705,Marketing & Advertising
2689946,Information Technology & Services
164331,Information Technology & Services
7260,Staffing & Recruiting
1197199,Computer Software
2958,Government Administration
729238,Information Technology & Services
1179727,Automotive
10324459,Information Technology & Services
81350906,Computer Games
40909281,Food & Beverages
10801655,Management Consulting
701236,Financial Services
3384,Hospital & Health Care
9454649,Wholesale
9180398,Hospital & Health Care
3432,Financial Services
17937,Staffing & Recruiting
7990,Automotive
89687784,Semiconductors
69419,Consumer Electronics
641035,Financial Services
165257,Consumer Goods
9223341,Staffing & Recruiting
14070878,Computer Software
79815,Staffing & Recruiting
52176410,Staffing & Recruiting
10854663,Environmental Services
45593,Information Technology & Services
76412394,Information Technology & Services
1656268,Information Technology & Services
6134,Financial Services
373568,Staffing & Recruiting
545751,Staffing & Recruiting
29091,Staffing & Recruiting
2510434,Hospital & Health Care
2756204,Hospital & Health Care
18255,Insurance
16742,Accounting
15355,Hospitality
53185587,Non-profit Organization Management
6088,Staffing & Recruiting
92409,Information Technology & Services
14407234,Staffing & Recruiting
1885564,Computer Software
6641761,Automotive
5235,Human Resources
80705,Government Relations
40848932,Oil & Energy
118551,Financial Services
27057164,Staffing & Recruiting
7012604,Staffing & Recruiting
30186,Information Technology & Services
24836,Banking
12178391,Marketing & Advertising
142571,Information Services
11243687,Information Technology & Services
1012425,Religious Institutions
2394652,Consumer Goods
82533810,Staffing & Recruiting
6044,Staffing & Recruiting
78810685,Food & Beverages
72456010,Information Technology & Services
1463,Human Resources
29293182,Staffing & Recruiting
77387513,Information Technology & Services
18476,Information Technology & Services
2648958,Staffing & Recruiting
1977034,Public Relations & Communications
316938,Machinery
3101619,Hospitality
827183,Staffing & Recruiting
1373835,Higher Education
15240711,Staffing & Recruiting
9187114,Information Technology & Services
74022590,Information Technology & Services
27292,Staffing & Recruiting
34654317,Information Technology & Services
14352,Staffing & Recruiting
1841,Medical Device
2121,"Leisure, Travel & Tourism"
92294,Broadcast Media
74303,Primary/Secondary Education
8118,Civic & Social Organization
232557,Defense & Space
17900699,Apparel & Fashion
25461,Staffing & Recruiting
7242,Retail
4787,Information Technology & Services
9328925,Information Technology & Services
14113,Staffing & Recruiting
77143692,Restaurants
67572051,Information Technology & Services
6575603,Staffing & Recruiting
13713353,Information Technology & Services
73431608,Staffing & Recruiting
6587671,Real Estate
10432834,Medical Device
18783638,Information Technology & Services
84645,Hospital & Health Care
1369363,Information Technology & Services
157240,Information Technology & Services
165464,Information Technology & Services
33249838,"Health, Wellness & Fitness"
140581,Mechanical Or Industrial Engineering
9371344,Staffing & Recruiting
3067,Information Technology & Services
31356620,Information Technology & Services
38117,Staffing & Recruiting
1612340,Staffing & Recruiting
417618,Information Technology & Services
1637,Medical Device
23740523,Printing
11742196,Newspapers
1783020,Furniture
3684,Information Technology & Services
475428,Higher Education
10247020,Information Technology & Services
14392471,Information Technology & Services
14628031,Information Technology & Services
117620,Staffing & Recruiting
124391,Staffing & Recruiting
71010895,Information Technology & Services
5140,Information Technology & Services
327412,Market Research
88804,Hospital & Health Care
890145,Information Technology & Services
78095772,Information Technology & Services
55215,Staffing & Recruiting
318540,Biotechnology
2562128,Information Technology & Services
33264,Real Estate
1106954,Information Technology & Services
99097,Non-profit Organization Management
2826091,Recreational Facilities & Services
37497578,Printing
77712306,Pharmaceuticals
35642069,Performing Arts
1353,Information Technology & Services
33278075,Staffing & Recruiting
1681,Staffing & Recruiting
17516,Information Technology & Services
35351,Law Practice
2684081,Information Technology & Services
10469647,Information Technology & Services
969699,Staffing & Recruiting
481931,Management Consulting
72483,Hospitality
9195529,Information Technology & Services
266132,Information Technology & Services
96121422,Staffing & Recruiting
26569406,Financial Services
71001459,Information Technology & Services
16164204,Staffing & Recruiting
131001,Law Practice
18921,Staffing & Recruiting
89810312,Entertainment
95675928,Staffing & Recruiting
331509,Staffing & Recruiting
375438,Information Technology & Services
594182,Environmental Services
314772,Non-profit Organization Management
108486,Management Consulting
96692,Information Technology & Services
1265173,Insurance
1316967,Information Technology & Services
72130268,Staffing & Recruiting
7941225,Staffing & Recruiting
4122,Retail
1552579,Mining & Metals
961273,Information Technology & Services
90396,Computer Software
8234,Packaging & Containers
1286891,Staffing & Recruiting
75041012,Information Technology & Services
80065524,Information Technology & Services
80980042,Food Production
20121834,Hospital & Health Care
14632005,Staffing & Recruiting
1372291,Information Technology & Services
78336991,Insurance
165295,Retail
1851642,Staffing & Recruiting
3758,Higher Education
165118,Hospital & Health Care
77607954,"Leisure, Travel & Tourism"
47040,Staffing & Recruiting
132625,Information Technology & Services
911461,Information Technology & Services
18348487,Information Technology & Services
11229,Staffing & Recruiting
28129827,Maritime
18660,Transportation/Trucking/Railroad
503712,Information Technology & Services
166340,Higher Education
306672,Information Technology & Services
70560,Staffing & Recruiting
1679692,Staffing & Recruiting
15956153,Education Management
26574100,Outsourcing/Offshoring
28406927,Political Organization
7288391,Information Technology & Services
816297,Recreational Facilities & Services
21213719,Mining & Metals
2503130,"Health, Wellness & Fitness"
3029525,Hospital & Health Care
48682,Government Administration
74702276,Venture Capital & Private Equity
22208562,Computer Software
27240013,Fundraising
42723251,Government Administration
163743,Information Technology & Services
5389219,Non-profit Organization Management
166421,Retail
23841,Retail
79668835,Airlines/Aviation
4674,Utilities
16263152,Hospital & Health Care
35529,Computer Software
2183652,Industrial Automation
37894,Staffing & Recruiting
16118,Real Estate
91743578,Staffing & Recruiting
27099119,Medical Device
56092,Market Research
11190179,Cosmetics
30679342,Management Consulting
1507699,Marketing & Advertising
1960295,Packaging & Containers
3476,Staffing & Recruiting
165383,Sports
933942,Information Technology & Services
2838631,Staffing & Recruiting
2275216,Construction
1952028,Insurance
2615835,Staffing & Recruiting
48528,Real Estate
35689556,Staffing & Recruiting
586645,Information Technology & Services
2474662,Staffing & Recruiting
23674217,Retail
156470,Information Technology & Services
91447303,Information Technology & Services
14680,Information Technology & Services
2604933,Information Technology & Services
3809210,Investment Management
3181342,Information Technology & Services
86694680,Computer Software
1335118,Information Technology & Services
18340489,Staffing & Recruiting
82712,Law Practice
2560345,Staffing & Recruiting
65808,Oil & Energy
766876,Staffing & Recruiting
85964,Information Technology & Services
1417153,Staffing & Recruiting
18102043,Hospital & Health Care
9185109,Staffing & Recruiting
7973087,Information Technology & Services
35184,Higher Education
10075319,Information Technology & Services
36019,Building Materials
3269275,Printing
9025,Education Management
4035,Higher Education
6424460,Computer Software
1468,Computer Software
14606618,Outsourcing/Offshoring
21738,Automotive
4433,Staffing & Recruiting
2788204,Information Technology & Services
570420,Staffing & Recruiting
712597,Apparel & Fashion
18298504,Financial Services
10155672,Recreational Facilities & Services
54317927,Financial Services
76777166,Information Technology & Services
25929,Staffing & Recruiting
2875,Information Technology & Services
151898,Accounting
632140,Staffing & Recruiting
986449,Wholesale
2899266,Information Technology & Services
4419,Hospital & Health Care
11822654,Law Practice
79383535,Information Technology & Services
869128,Information Technology & Services
3591245,"Leisure, Travel & Tourism"
5021998,Information Technology & Services
11618,Consumer Goods
215561,Staffing & Recruiting
2114711,Staffing & Recruiting
10833297,Staffing & Recruiting
18456165,Computer Software
9889773,Utilities
3364,Information Technology & Services
1167975,Hospital & Health Care
11544533,Construction
6274163,Mechanical Or Industrial Engineering
9817526,Medical Device
8593,Insurance
163227,International Trade & Development
54819446,Mining & Metals
252624,Utilities
217273,Information Technology & Services
25030757,Hospital & Health Care
9201,Higher Education
981830,Non-profit Organization Management
56833,Staffing & Recruiting
1970,Banking
95267,Staffing & Recruiting
61397771,Education Management
418451,Insurance
6915,Financial Services
2152,Information Technology & Services
94181897,Computer Software
25038366,Real Estate
5336314,Mechanical Or Industrial Engineering
18449575,Management Consulting
202287,Machinery
65529778,Staffing & Recruiting
7463,Utilities
162258,Retail
162807,Staffing & Recruiting
81962756,Transportation/Trucking/Railroad
11028871,Telecommunications
28612425,Architecture & Planning
6382239,Information Technology & Services
6638223,Information Technology & Services
13421086,Computer Software
2928642,Financial Services
162547,Furniture
2314143,Information Technology & Services
155710,Writing & Editing
2124763,Environmental Services
94079,Financial Services
89686436,Staffing & Recruiting
21784,Information Technology & Services
33125878,Information Technology & Services
5131340,Telecommunications
284382,Design
38092727,Investment Banking
1967752,Logistics & Supply Chain
352246,Government Administration
3505146,Non-profit Organization Management
1251463,Biotechnology
31032366,Staffing & Recruiting
145137,Staffing & Recruiting
30498,Retail
53939277,Medical Practice
853789,Financial Services
1265059,Computer Software
211869,Staffing & Recruiting
27903,Information Technology & Services
164920,Marketing & Advertising
118698,Hospital & Health Care
2403625,Information Technology & Services
64969581,Hospital & Health Care
1117735,Staffing & Recruiting
230197,Media Production
24995091,Military
40739208,Financial Services
14633226,Information Technology & Services
5234457,Staffing & Recruiting
5260930,Staffing & Recruiting
10841679,Information Technology & Services
8861597,Paper & Forest Products
10616113,Staffing & Recruiting
104243,Non-profit Organization Management
280956,Information Technology & Services
18758749,Staffing & Recruiting
35581547,Hospital & Health Care
82263,Staffing & Recruiting
5084329,Internet
95734231,Information Technology & Services
19626,Staffing & Recruiting
383369,Staffing & Recruiting
290493,Mechanical Or Industrial Engineering
68951389,Information Technology & Services
2168893,Staffing & Recruiting
26793,Information Technology & Services
22003,Information Technology & Services
2644830,Automotive
236019,Information Technology & Services
4126,International Trade & Development
3240627,Marketing & Advertising
8524,Luxury Goods & Jewelry
7893064,Information Technology & Services
52119691,Chemicals
210064,Management Consulting
11133123,Staffing & Recruiting
37476400,Real Estate
10076831,Environmental Services
2864539,Staffing & Recruiting
743843,Staffing & Recruiting
11553420,Staffing & Recruiting
1158192,Staffing & Recruiting
2121817,Information Technology & Services
15650165,Hospital & Health Care
8117,Staffing & Recruiting
9089,Information Technology & Services
2132152,Hospitality
2511837,Information Technology & Services
15571126,Individual & Family Services
235340,Computer Software
27016907,Construction
528217,Aviation & Aerospace
82120874,Staffing & Recruiting
894315,Security & Investigations
17975937,Automotive
90198358,Hospital & Health Care
164766,Staffing & Recruiting
207697,Staffing & Recruiting
80055,Sports
27244722,Utilities
77185102,Information Technology & Services
12601035,Capital Markets
590130,Information Technology & Services
14629065,Information Technology & Services
248184,Staffing & Recruiting
2734,Aviation & Aerospace
946733,Aviation & Aerospace
10995060,Management Consulting
62381783,Recreational Facilities & Services
200685,Information Technology & Services
14336,Staffing & Recruiting
16162070,Transportation/Trucking/Railroad
3618762,Apparel & Fashion
35516710,Staffing & Recruiting
413796,Staffing & Recruiting
91334459,Real Estate
347685,Hospital & Health Care
280561,Law Practice
1135366,Transportation/Trucking/Railroad
40894,Staffing & Recruiting
3163363,Real Estate
18613449,Food Production
6405924,Staffing & Recruiting
251970,Food & Beverages
34748771,Accounting
670231,Religious Institutions
5038190,Information Technology & Services
2297840,Management Consulting
10126963,Staffing & Recruiting
68889,Management Consulting
35657035,Non-profit Organization Management
162999,Marketing & Advertising
911430,Financial Services
11861673,Hospital & Health Care
96344069,Information Technology & Services
15183489,Apparel & Fashion
76665811,Defense & Space
33238399,Mechanical Or Industrial Engineering
8602,Luxury Goods & Jewelry
2531104,Staffing & Recruiting
3725929,Mechanical Or Industrial Engineering
70915780,Staffing & Recruiting
3626487,Pharmaceuticals
5236573,Staffing & Recruiting
948229,Information Technology & Services
37207749,Law Practice
1611410,Machinery
10794395,Banking
89581254,Information Technology & Services
2049094,Information Technology & Services
698935,Financial Services
66939019,Marketing & Advertising
1907823,"Leisure, Travel & Tourism"
64738928,Marketing & Advertising
71049308,Chemicals
60836398,Insurance
10653666,Information Technology & Services
30116,Higher Education
10853673,Information Technology & Services
25371,Building Materials
52129901,Food & Beverages
25066691,Information Technology & Services
201351,Information Technology & Services
77153,Defense & Space
15919280,Hospital & Health Care
2420612,Human Resources
107021,Information Technology & Services
13333,Staffing & Recruiting
4725,Hospital & Health Care
1036445,Hospitality
64997233,Civil Engineering
243711,Staffing & Recruiting
675578,Mechanical Or Industrial Engineering
53971,Building Materials
35495086,Marketing & Advertising
35475885,Staffing & Recruiting
2985733,Information Technology & Services
3283052,Computer Software
3079692,Law Practice
71015526,Events Services
63086,Information Technology & Services
18715975,Financial Services
13643656,Higher Education
2890366,Hospital & Health Care
71070208,Design
75581097,Staffing & Recruiting
3789,Machinery
82315512,Hospital & Health Care
7600286,Information Technology & Services
956827,Staffing & Recruiting
4060,Real Estate
16090980,Civil Engineering
28863552,Public Safety
1955819,Chemicals
8367,Information Technology & Services
310015,Staffing & Recruiting
1975865,Information Technology & Services
11021041,Mechanical Or Industrial Engineering
10577525,Management Consulting
6379951,Staffing & Recruiting
2944478,Transportation/Trucking/Railroad
2763211,Management Consulting
1676298,Oil & Energy
91417994,Transportation/Trucking/Railroad
232394,Staffing & Recruiting
28178724,Architecture & Planning
1939425,Financial Services
14699670,Information Technology & Services
2952162,Information Technology & Services
92229,Staffing & Recruiting
24999265,Electrical & Electronic Manufacturing
5275,Medical Device
31346550,Information Technology & Services
3887035,Environmental Services
74906914,Staffing & Recruiting
50215,Marketing & Advertising
27207386,Staffing & Recruiting
4828495,Pharmaceuticals
10309372,Information Technology & Services
2670623,Retail
3123217,Information Technology & Services
3860052,Food Production
27152943,Consumer Goods
620532,Design
87599,Staffing & Recruiting
80474367,Staffing & Recruiting
55546,Information Technology & Services
3714038,Financial Services
107265,Non-profit Organization Management
16198955,Insurance
40760236,Alternative Medicine
37914,Medical Device
2691463,Staffing & Recruiting
20468,Information Technology & Services
2532635,Staffing & Recruiting
2721914,Telecommunications
18622011,Information Technology & Services
731128,Staffing & Recruiting
52119,Staffing & Recruiting
1379054,Banking
3598625,Financial Services
16388,Information Technology & Services
1805509,Building Materials
15231695,Information Technology & Services
1903333,Public Relations & Communications
3817445,Hospital & Health Care
8047188,Information Technology & Services
809218,Law Enforcement
162528,Staffing & Recruiting
11294318,Accounting
1267359,Hospital & Health Care
70461533,Staffing & Recruiting
206415,Real Estate
2842,Higher Education
9211944,Information Technology & Services
1613038,Information Technology & Services
2344502,Staffing & Recruiting
9070,Chemicals
80137739,Staffing & Recruiting
3304338,Hospitality
15405878,Information Technology & Services
166572,Retail
19076380,Staffing & Recruiting
9667,Hospital & Health Care
9999119,Information Technology & Services
22803,Computer Software
53438162,Venture Capital & Private Equity
4023852,Information Technology & Services
797698,Higher Education
9201883,Insurance
4030966,Defense & Space
24642,Staffing & Recruiting
79816265,Information Technology & Services
1230582,Information Technology & Services
27283627,Information Technology & Services
18421460,Wine & Spirits
10140364,Information Technology & Services
6186466,Gambling & Casinos
6645155,Civil Engineering
1582517,Accounting
2713586,Apparel & Fashion
71138158,Hospital & Health Care
450323,Staffing & Recruiting
1779663,Staffing & Recruiting
156075,Law Practice
3043632,Medical Device
83485822,Broadcast Media
12904366,Staffing & Recruiting
3045437,Marketing & Advertising
2397781,Mechanical Or Industrial Engineering
93306581,Management Consulting
452426,Mental Health Care
86813252,Information Technology & Services
164708,Information Technology & Services
565927,Computer Software
2307,Staffing & Recruiting
375293,Staffing & Recruiting
465010,Management Consulting
85691,Construction
14651,Staffing & Recruiting
2819,Marketing & Advertising
531400,Architecture & Planning
25071399,Construction
462487,Computer Software
1396879,Financial Services
1410451,Computer Software
1759010,Staffing & Recruiting
18097379,Staffing & Recruiting
67183490,Financial Services
1984030,Information Technology & Services
66436,Staffing & Recruiting
3825965,Consumer Services
340377,Security & Investigations
14562893,Information Technology & Services
1373,Management Consulting
146782,Information Technology & Services
79011799,Information Technology & Services
10612451,Information Technology & Services
224006,Information Technology & Services
1756,Information Technology & Services
13275448,Outsourcing/Offshoring
2393241,Staffing & Recruiting
254975,Insurance
24775193,Staffing & Recruiting
13271269,Staffing & Recruiting
80976980,Staffing & Recruiting
5214874,Management Consulting
2214751,E-learning
11506900,Information Technology & Services
25715,Utilities
19902,Staffing & Recruiting
10287094,Marketing & Advertising
16124699,Real Estate
10592265,Information Technology & Services
18802934,Financial Services
388480,Staffing & Recruiting
79140061,Retail
13268908,Information Technology & Services
3956151,Building Materials
12158,Staffing & Recruiting
3543707,Mechanical Or Industrial Engineering
50861,Staffing & Recruiting
164376,Information Technology & Services
23381991,Law Practice
65447738,Information Technology & Services
74907162,Government Administration
19114904,"Health, Wellness & Fitness"
63757,Insurance
53388446,Industrial Automation
60577,Hospitality
69126564,International Trade & Development
5973,Chemicals
3797960,Marketing & Advertising
2781211,Mental Health Care
648141,Financial Services
3607929,Information Technology & Services
923923,Staffing & Recruiting
14377562,Information Services
90443935,Insurance
15716973,Law Enforcement
18045394,Information Technology & Services
31069139,Information Technology & Services
28125525,Staffing & Recruiting
11187415,Information Technology & Services
16114128,Non-profit Organization Management
80041434,Staffing & Recruiting
1766119,Oil & Energy
3741,Management Consulting
14030408,Staffing & Recruiting
49025,Real Estate
79474163,Management Consulting
334661,Computer Software
2794879,Information Technology & Services
1194847,Retail
2468875,Information Services
69234316,Automotive
521122,Staffing & Recruiting
1763822,Alternative Medicine
35513424,Staffing & Recruiting
42763316,Computer Software
26792,Mechanical Or Industrial Engineering
97696,Information Technology & Services
1486134,Staffing & Recruiting
8211,Retail
6627430,Information Technology & Services
3711385,Construction
84813880,Information Technology & Services
19520,Public Safety
670462,Information Technology & Services
10500736,"Health, Wellness & Fitness"
11301702,Computer Software
20167,Government Administration
34704,Hospital & Health Care
19540,Retail
218019,Education Management
15283,Hospital & Health Care
5968,Building Materials
4235104,Government Administration
5061855,Hospital & Health Care
43577,Information Technology & Services
828170,Staffing & Recruiting
1003064,Staffing & Recruiting
7655,Chemicals
508963,Environmental Services
10089202,"Health, Wellness & Fitness"
2910116,Electrical & Electronic Manufacturing
35135,Information Technology & Services
2646,Retail
30238039,Financial Services
12770,Information Technology & Services
157237,Consumer Goods
20489,Luxury Goods & Jewelry
15630448,Individual & Family Services
18861876,Real Estate
564726,Semiconductors
2560251,Staffing & Recruiting
14631354,Information Technology & Services
1042451,Telecommunications
3559874,Staffing & Recruiting
166551,Food Production
27219414,Hospital & Health Care
18425303,Telecommunications
784586,Construction
3334,Information Technology & Services
65384923,Staffing & Recruiting
240179,Telecommunications
34434,Information Technology & Services
77499,Staffing & Recruiting
35471087,Research
82426239,Food & Beverages
2913934,Transportation/Trucking/Railroad
138165,Mechanical Or Industrial Engineering
76507853,Information Technology & Services
77158779,Information Technology & Services
6453451,Architecture & Planning
1557324,Staffing & Recruiting
23711468,Research
7119929,Packaging & Containers
2922575,Information Technology & Services
5946486,Transportation/Trucking/Railroad
10592585,Staffing & Recruiting
146857,Research
17986422,Education Management
6615723,Information Technology & Services
2188226,Consumer Goods
11150218,Cosmetics
71558134,Staffing & Recruiting
90458394,Construction
14628022,Information Technology & Services
2269862,Information Technology & Services
89705972,Non-profit Organization Management
44295,Staffing & Recruiting
157312,Retail
76947396,Computer Software
4836891,Construction
674355,Construction
1375518,Machinery
91453518,Non-profit Organization Management
147091,Staffing & Recruiting
33457223,Utilities
260295,Staffing & Recruiting
29012947,Marketing & Advertising
2855441,Consumer Goods
96355635,Retail
2539226,Government Administration
166583,Chemicals
47475,Staffing & Recruiting
64853982,Information Technology & Services
58289,Information Technology & Services
496899,Management Consulting
923162,Staffing & Recruiting
18953334,Retail
1344410,Information Technology & Services
44095,Information Technology & Services
26781,Information Technology & Services
2727542,Non-profit Organization Management
928232,Information Technology & Services
11692984,Computer Software
58357,Staffing & Recruiting
18167344,Information Technology & Services
17877112,Hospital & Health Care
3678,"Glass, Ceramics & Concrete"
7791736,Information Technology & Services
96153135,Human Resources
146155,Mining & Metals
10407976,Renewables & Environment
81495477,Biotechnology
8967,Real Estate
2747538,Information Technology & Services
137699,Staffing & Recruiting
143338,"Health, Wellness & Fitness"
223659,Computer Software
19073712,"Health, Wellness & Fitness"
1127732,Information Technology & Services
107676,Chemicals
310140,Dairy
